side,entry_index,exit_index,entry_price,exit_price,stop_loss_price,take_profit_price,exit_reason,gross_return,leveraged_return,net_return
short,727,811,47147.394510,47618.868455,47618.868455,46204.446620,stop_loss,-10.000000,-100.000000,-100.800000
short,927,1366,47149.413500,46206.425230,47620.907635,46206.425230,take_profit,20.000000,200.000000,199.200000
short,1597,1717,46505.165785,46970.217443,46970.217443,45575.062469,stop_loss,-10.000000,-100.000000,-100.800000
short,3972,4228,41868.475290,42287.160043,42287.160043,41031.105784,stop_loss,-10.000000,-100.000000,-100.800000
short,4322,4578,41868.655200,41031.282096,42287.341752,41031.282096,take_profit,20.000000,200.000000,199.200000
short,5433,5513,42574.981860,43000.731679,43000.731679,41723.482223,stop_loss,-10.000000,-100.000000,-100.800000
short,7180,8003,43174.092155,42310.610312,43605.833077,42310.610312,take_profit,20.000000,200.000000,199.200000
short,8529,8583,41416.821230,41830.989442,41830.989442,40588.484805,stop_loss,-10.000000,-100.000000,-100.800000
short,8861,8903,41795.771660,42213.729377,42213.729377,40959.856227,stop_loss,-10.000000,-100.000000,-100.800000
short,8951,9402,42012.233375,42432.355709,42432.355709,41171.988708,stop_loss,-10.000000,-100.000000,-100.800000
short,11351,11387,34085.708620,34426.565706,34426.565706,33403.994448,stop_loss,-10.000000,-100.000000,-100.800000
short,12089,12096,37291.335005,37664.248355,37664.248355,36545.508305,stop_loss,-10.000000,-100.000000,-100.800000
short,12154,12183,37301.160090,37674.171691,37674.171691,36555.136888,stop_loss,-10.000000,-100.000000,-100.800000
short,13242,13371,36998.981255,37368.971068,37368.971068,36259.001630,stop_loss,-10.000000,-100.000000,-100.800000
short,13792,13850,37646.937115,38023.406486,38023.406486,36893.998373,stop_loss,-10.000000,-100.000000,-100.800000
short,14619,14702,37255.372995,37627.926725,37627.926725,36510.265535,stop_loss,-10.000000,-100.000000,-100.800000
short,16634,16645,39352.683815,39746.210653,39746.210653,38565.630139,stop_loss,-10.000000,-100.000000,-100.800000
short,17387,17570,41514.222505,41929.364730,41929.364730,40683.938055,stop_loss,-10.000000,-100.000000,-100.800000
short,17763,17814,42095.531705,42516.487022,42516.487022,41253.621071,stop_loss,-10.000000,-100.000000,-100.800000
short,19092,19102,43977.970015,44417.749715,44417.749715,43098.410615,stop_loss,-10.000000,-100.000000,-100.800000
short,19354,19389,43926.305860,44365.568919,44365.568919,43047.779743,stop_loss,-10.000000,-100.000000,-100.800000
short,19457,19471,44801.627980,43905.595420,45249.644260,43905.595420,take_profit,20.000000,200.000000,199.200000
short,19499,19501,44345.616100,44789.072261,44789.072261,43458.703778,stop_loss,-10.000000,-100.000000,-100.800000
short,21705,21770,43473.152550,43907.884076,43907.884076,42603.689499,stop_loss,-10.000000,-100.000000,-100.800000
short,23609,24119,40169.705100,39366.310998,40571.402151,39366.310998,take_profit,20.000000,200.000000,199.200000
short,24510,24692,39168.206100,38384.841978,39559.888161,38384.841978,take_profit,20.000000,200.000000,199.200000
short,24779,24784,38633.373650,39019.707386,39019.707386,37860.706177,stop_loss,-10.000000,-100.000000,-100.800000
short,25738,25804,38664.957850,37891.658693,39051.607429,37891.658693,take_profit,20.000000,200.000000,199.200000
short,26296,26311,36391.894950,36755.813900,36755.813900,35664.057051,stop_loss,-10.000000,-100.000000,-100.800000
short,26657,26892,39329.725300,39723.022553,39723.022553,38543.130794,stop_loss,-10.000000,-100.000000,-100.800000
short,26948,27382,39353.713300,38566.639034,39747.250433,38566.639034,take_profit,20.000000,200.000000,199.200000
short,27667,27751,39050.265100,38269.259798,39440.767751,38269.259798,take_profit,20.000000,200.000000,199.200000
short,28548,28566,43700.139000,44137.140390,44137.140390,42826.136220,stop_loss,-10.000000,-100.000000,-100.800000
short,28617,28792,43842.967550,44281.397226,44281.397226,42966.108199,stop_loss,-10.000000,-100.000000,-100.800000
short,28945,28966,43751.113500,44188.624635,44188.624635,42876.091230,stop_loss,-10.000000,-100.000000,-100.800000
short,28989,29012,43806.885600,44244.954456,44244.954456,42930.747888,stop_loss,-10.000000,-100.000000,-100.800000
short,29120,29375,44143.017450,43260.157101,44584.447624,43260.157101,take_profit,20.000000,200.000000,199.200000
short,30812,30815,39088.446000,39479.330460,39479.330460,38306.677080,stop_loss,-10.000000,-100.000000,-100.800000
short,30827,30920,39443.168550,38654.305179,39837.600236,38654.305179,take_profit,20.000000,200.000000,199.200000
short,31269,31381,37815.682700,38193.839527,38193.839527,37059.369046,stop_loss,-10.000000,-100.000000,-100.800000
short,31572,31652,37823.878600,38202.117386,38202.117386,37067.401028,stop_loss,-10.000000,-100.000000,-100.800000
short,33360,33421,39969.105450,39169.723341,40368.796505,39169.723341,take_profit,20.000000,200.000000,199.200000
short,34530,34536,38658.261200,37885.095976,39044.843812,37885.095976,take_profit,20.000000,200.000000,199.200000
short,34608,34644,38069.855550,38450.554105,38450.554105,37308.458439,stop_loss,-10.000000,-100.000000,-100.800000
short,35478,35562,39589.495350,39985.390304,39985.390304,38797.705443,stop_loss,-10.000000,-100.000000,-100.800000
short,35685,35695,39795.392350,40193.346273,40193.346273,38999.484503,stop_loss,-10.000000,-100.000000,-100.800000
short,37982,38080,40739.520050,41146.915251,41146.915251,39924.729649,stop_loss,-10.000000,-100.000000,-100.800000
short,38207,38231,40715.731950,41122.889270,41122.889270,39901.417311,stop_loss,-10.000000,-100.000000,-100.800000
short,39287,39354,42289.944450,42712.843895,42712.843895,41444.145561,stop_loss,-10.000000,-100.000000,-100.800000
short,40379,40726,44240.668600,44683.075286,44683.075286,43355.855228,stop_loss,-10.000000,-100.000000,-100.800000
short,40736,41211,44488.744500,44933.631945,44933.631945,43598.969610,stop_loss,-10.000000,-100.000000,-100.800000
short,42076,43003,47392.391950,46444.544111,47866.315870,46444.544111,take_profit,20.000000,200.000000,199.200000
short,43016,43057,46687.344650,45753.597757,47154.218097,45753.597757,take_profit,20.000000,200.000000,199.200000
short,43758,44189,46536.520100,45605.789698,47001.885301,45605.789698,take_profit,20.000000,200.000000,199.200000
short,44428,44607,46558.908900,47024.497989,47024.497989,45627.730722,stop_loss,-10.000000,-100.000000,-100.800000
short,45902,46077,44102.637650,43220.584897,44543.664026,43220.584897,take_profit,20.000000,200.000000,199.200000
short,46865,46905,43793.192450,42917.328601,44231.124375,42917.328601,take_profit,20.000000,200.000000,199.200000
short,48379,48402,40473.952900,39664.473842,40878.692429,39664.473842,take_profit,20.000000,200.000000,199.200000
short,49713,49755,40773.103250,39957.641185,41180.834282,39957.641185,take_profit,20.000000,200.000000,199.200000
short,50428,51347,40566.806450,39755.470321,40972.474515,39755.470321,take_profit,20.000000,200.000000,199.200000
short,52487,52529,41357.011150,41770.581261,41770.581261,40529.870927,stop_loss,-10.000000,-100.000000,-100.800000
short,52737,52959,41357.211050,41770.783161,41770.783161,40530.066829,stop_loss,-10.000000,-100.000000,-100.800000
short,53013,53056,42247.565650,42670.041306,42670.041306,41402.614337,stop_loss,-10.000000,-100.000000,-100.800000
short,53112,53182,42240.569150,41395.757767,42662.974842,41395.757767,take_profit,20.000000,200.000000,199.200000
short,53260,53594,40375.202300,39567.698254,40778.954323,39567.698254,take_profit,20.000000,200.000000,199.200000
short,54203,54727,39838.170950,39041.407531,40236.552659,39041.407531,take_profit,20.000000,200.000000,199.200000
short,55060,55096,39414.083100,39808.223931,39808.223931,38625.801438,stop_loss,-10.000000,-100.000000,-100.800000
short,55467,55499,40084.147900,39282.464942,40484.989379,39282.464942,take_profit,20.000000,200.000000,199.200000
short,57637,57917,37948.916050,38328.405211,38328.405211,37189.937729,stop_loss,-10.000000,-100.000000,-100.800000
short,57992,58020,37924.228400,38303.470684,38303.470684,37165.743832,stop_loss,-10.000000,-100.000000,-100.800000
short,58312,58358,38546.117300,38931.578473,38931.578473,37775.194954,stop_loss,-10.000000,-100.000000,-100.800000
short,59141,59173,37950.915050,38330.424201,38330.424201,37191.896749,stop_loss,-10.000000,-100.000000,-100.800000
short,59414,59417,39023.178650,39413.410437,39413.410437,38242.715077,stop_loss,-10.000000,-100.000000,-100.800000
short,61326,61331,34110.036450,34451.136815,34451.136815,33427.835721,stop_loss,-10.000000,-100.000000,-100.800000
short,61400,61495,34122.730100,33440.275498,34463.957401,33440.275498,take_profit,20.000000,200.000000,199.200000
short,62112,62172,31571.406400,31887.120464,31887.120464,30939.978272,stop_loss,-10.000000,-100.000000,-100.800000
short,62280,62336,31604.489850,30972.400053,31920.534749,30972.400053,take_profit,20.000000,200.000000,199.200000
short,62460,62535,31570.207000,30938.802860,31885.909070,30938.802860,take_profit,20.000000,200.000000,199.200000
short,62740,62753,30235.374750,29630.667255,30537.728498,29630.667255,take_profit,20.000000,200.000000,199.200000
short,62943,62964,28652.366650,28079.319317,28938.890317,28079.319317,take_profit,20.000000,200.000000,199.200000
short,63167,63172,28658.863400,28945.452034,28945.452034,28085.686132,stop_loss,-10.000000,-100.000000,-100.800000
short,63240,63311,28663.361150,28090.093927,28949.994762,28090.093927,take_profit,20.000000,200.000000,199.200000
short,64413,64440,29529.327950,29824.621230,29824.621230,28938.741391,stop_loss,-10.000000,-100.000000,-100.800000
