side,entry_index,exit_index,entry_price,exit_price,stop_loss_price,take_profit_price,exit_reason,gross_return,leveraged_return,net_return
short,833,857,32752.765425,33080.293079,33080.293079,32097.710117,stop_loss,-10.000000,-100.000000,-100.800000
short,1053,1058,32730.936345,33058.245708,33058.245708,32076.317618,stop_loss,-10.000000,-100.000000,-100.800000
short,1299,1307,32726.138745,33053.400132,33053.400132,32071.615970,stop_loss,-10.000000,-100.000000,-100.800000
short,1655,1660,30153.605655,30455.141712,30455.141712,29550.533542,stop_loss,-10.000000,-100.000000,-100.800000
short,1673,1677,30114.165385,30415.307039,30415.307039,29511.882077,stop_loss,-10.000000,-100.000000,-100.800000
short,2036,2050,30388.348225,30692.231707,30692.231707,29780.581260,stop_loss,-10.000000,-100.000000,-100.800000
short,3573,3575,40433.323225,40837.656457,40837.656457,39624.656761,stop_loss,-10.000000,-100.000000,-100.800000
short,3683,3689,40751.324145,41158.837386,41158.837386,39936.297662,stop_loss,-10.000000,-100.000000,-100.800000
short,3816,3870,40795.242175,39979.337332,41203.194597,39979.337332,take_profit,20.000000,200.000000,199.200000
short,4053,4067,40562.428640,40968.052926,40968.052926,39751.180067,stop_loss,-10.000000,-100.000000,-100.800000
short,4075,4099,40542.758480,40948.186065,40948.186065,39731.903310,stop_loss,-10.000000,-100.000000,-100.800000
short,4185,4346,40552.473620,40957.998356,40957.998356,39741.424148,stop_loss,-10.000000,-100.000000,-100.800000
short,4691,4721,38283.138855,37517.476078,38665.970244,37517.476078,take_profit,20.000000,200.000000,199.200000
short,4761,4763,38326.407210,38709.671282,38709.671282,37559.879066,stop_loss,-10.000000,-100.000000,-100.800000
short,4797,4803,38337.351735,37570.604700,38720.725252,37570.604700,take_profit,20.000000,200.000000,199.200000
short,5768,5800,32957.513000,33287.088130,33287.088130,32298.362740,stop_loss,-10.000000,-100.000000,-100.800000
short,6229,6240,37259.151105,37631.742616,37631.742616,36513.968083,stop_loss,-10.000000,-100.000000,-100.800000
short,6303,6351,37268.666345,37641.353008,37641.353008,36523.293018,stop_loss,-10.000000,-100.000000,-100.800000
short,7571,7632,36932.384570,36193.736879,37301.708416,36193.736879,take_profit,20.000000,200.000000,199.200000
short,9334,9361,34822.480050,34126.030449,35170.704851,34126.030449,take_profit,20.000000,200.000000,199.200000
short,9564,9585,34826.548015,35174.813495,35174.813495,34130.017055,stop_loss,-10.000000,-100.000000,-100.800000
short,9741,9770,34841.680445,34144.846836,35190.097249,34144.846836,take_profit,20.000000,200.000000,199.200000
short,10117,10130,30183.930485,30485.769790,30485.769790,29580.251875,stop_loss,-10.000000,-100.000000,-100.800000
short,11063,11118,32000.491750,32320.496667,32320.496667,31360.481915,stop_loss,-10.000000,-100.000000,-100.800000
short,11842,11919,34183.899500,33500.221510,34525.738495,33500.221510,take_profit,20.000000,200.000000,199.200000
short,12366,12402,32056.183890,32376.745729,32376.745729,31415.060212,stop_loss,-10.000000,-100.000000,-100.800000
short,12425,12458,32034.264855,32354.607504,32354.607504,31393.579558,stop_loss,-10.000000,-100.000000,-100.800000
short,13591,13600,32079.842055,32400.640476,32400.640476,31438.245214,stop_loss,-10.000000,-100.000000,-100.800000
short,13646,13657,36368.806500,36732.494565,36732.494565,35641.430370,stop_loss,-10.000000,-100.000000,-100.800000
short,13776,13803,36264.988435,35539.688666,36627.638319,35539.688666,take_profit,20.000000,200.000000,199.200000
short,15055,15059,34160.561175,34502.166787,34502.166787,33477.349952,stop_loss,-10.000000,-100.000000,-100.800000
short,15095,15197,34135.733595,33453.018923,34477.090931,33453.018923,take_profit,20.000000,200.000000,199.200000
short,15365,15538,34147.297810,34488.770788,34488.770788,33464.351854,stop_loss,-10.000000,-100.000000,-100.800000
short,15549,15758,35299.171585,35652.163301,35652.163301,34593.188153,stop_loss,-10.000000,-100.000000,-100.800000
short,17120,17279,37938.351335,38317.734848,38317.734848,37179.584308,stop_loss,-10.000000,-100.000000,-100.800000
short,17384,17406,38880.280135,39269.082936,39269.082936,38102.674532,stop_loss,-10.000000,-100.000000,-100.800000
short,18518,18525,43244.886740,43677.335607,43677.335607,42379.989005,stop_loss,-10.000000,-100.000000,-100.800000
short,18532,18540,43377.780260,43811.558063,43811.558063,42510.224655,stop_loss,-10.000000,-100.000000,-100.800000
short,18544,18547,43462.018120,43896.638301,43896.638301,42592.777758,stop_loss,-10.000000,-100.000000,-100.800000
short,18570,18655,43130.953735,43562.263272,43562.263272,42268.334660,stop_loss,-10.000000,-100.000000,-100.800000
short,19404,19440,47294.520910,46348.630492,47767.466119,46348.630492,take_profit,20.000000,200.000000,199.200000
short,19450,19500,45897.749645,44979.794652,46356.727141,44979.794652,take_profit,20.000000,200.000000,199.200000
short,19758,19776,45624.976100,44712.476578,46081.225861,44712.476578,take_profit,20.000000,200.000000,199.200000
short,19878,19896,45638.499335,46094.884328,46094.884328,44725.729348,stop_loss,-10.000000,-100.000000,-100.800000
short,20192,20240,48412.491645,47444.241812,48896.616561,47444.241812,take_profit,20.000000,200.000000,199.200000
short,20980,21124,47110.722855,47581.830084,47581.830084,46168.508398,stop_loss,-10.000000,-100.000000,-100.800000
short,21656,21752,46846.555005,47315.020555,47315.020555,45909.623905,stop_loss,-10.000000,-100.000000,-100.800000
short,22606,22696,50056.109425,50556.670519,50556.670519,49054.987237,stop_loss,-10.000000,-100.000000,-100.800000
short,24579,24684,56747.751930,57315.229449,57315.229449,55612.796891,stop_loss,-10.000000,-100.000000,-100.800000
short,25564,25577,50885.534505,49867.823815,51394.389850,49867.823815,take_profit,20.000000,200.000000,199.200000
short,26657,26659,50846.843860,51355.312299,51355.312299,49829.906983,stop_loss,-10.000000,-100.000000,-100.800000
short,27835,27866,46051.302830,46511.815858,46511.815858,45130.276773,stop_loss,-10.000000,-100.000000,-100.800000
short,27931,27964,44922.667430,44024.214081,45371.894104,44024.214081,take_profit,20.000000,200.000000,199.200000
short,28120,28154,44338.669575,43451.896184,44782.056271,43451.896184,take_profit,20.000000,200.000000,199.200000
short,28994,29132,49229.113130,48244.530867,49721.404261,48244.530867,take_profit,20.000000,200.000000,199.200000
short,31385,31482,50586.094300,51091.955243,51091.955243,49574.372414,stop_loss,-10.000000,-100.000000,-100.800000
short,31495,31533,50571.001850,51076.711869,51076.711869,49559.581813,stop_loss,-10.000000,-100.000000,-100.800000
short,31566,31673,50637.848410,51144.226894,51144.226894,49625.091442,stop_loss,-10.000000,-100.000000,-100.800000
short,31759,31844,50600.667010,49588.653670,51106.673680,49588.653670,take_profit,20.000000,200.000000,199.200000
short,31946,31991,50590.612040,51096.518160,51096.518160,49578.799799,stop_loss,-10.000000,-100.000000,-100.800000
short,32003,32070,50773.840380,51281.578784,51281.578784,49758.363572,stop_loss,-10.000000,-100.000000,-100.800000
short,33440,33489,56551.729990,57117.247290,57117.247290,55420.695390,stop_loss,-10.000000,-100.000000,-100.800000
short,33835,33869,56483.813965,55354.137686,57048.652105,55354.137686,take_profit,20.000000,200.000000,199.200000
short,34296,34300,59403.873205,59997.911937,59997.911937,58215.795741,stop_loss,-10.000000,-100.000000,-100.800000
short,34881,34884,59410.679800,60004.786598,60004.786598,58222.466204,stop_loss,-10.000000,-100.000000,-100.800000
short,35210,35227,58058.956000,56897.776880,58639.545560,56897.776880,take_profit,20.000000,200.000000,199.200000
short,35302,35323,56640.615525,57207.021680,57207.021680,55507.803215,stop_loss,-10.000000,-100.000000,-100.800000
short,35333,35389,56818.336620,55681.969888,57386.519986,55681.969888,take_profit,20.000000,200.000000,199.200000
short,35443,35520,56641.665000,55508.831700,57208.081650,55508.831700,take_profit,20.000000,200.000000,199.200000
short,36836,36856,59403.993145,58215.913282,59998.033076,58215.913282,take_profit,20.000000,200.000000,199.200000
short,37364,37425,59410.709785,58222.495589,60004.816883,58222.495589,take_profit,20.000000,200.000000,199.200000
short,37680,37706,59238.525920,59830.911179,59830.911179,58053.755402,stop_loss,-10.000000,-100.000000,-100.800000
short,38240,38246,56837.756905,57406.134474,57406.134474,55701.001767,stop_loss,-10.000000,-100.000000,-100.800000
short,38674,38799,56769.601000,55634.208980,57337.297010,55634.208980,take_profit,20.000000,200.000000,199.200000
short,39123,39208,55053.099680,55603.630677,55603.630677,53952.037686,stop_loss,-10.000000,-100.000000,-100.800000
short,39267,39368,55094.099170,53992.217187,55645.040162,53992.217187,take_profit,20.000000,200.000000,199.200000
short,41077,41120,54452.590085,54997.115986,54997.115986,53363.538283,stop_loss,-10.000000,-100.000000,-100.800000
short,41600,41662,56275.488180,55149.978416,56838.243062,55149.978416,take_profit,20.000000,200.000000,199.200000
short,42672,42849,58762.823890,59350.452129,59350.452129,57587.567412,stop_loss,-10.000000,-100.000000,-100.800000
