side,entry_index,exit_index,entry_price,exit_price,stop_loss_price,take_profit_price,exit_reason,gross_return,leveraged_return,net_return
short,720,1580,16716.637500,16883.803875,16883.803875,16382.304750,stop_loss,-10.000000,-100.000000,-100.800000
short,1829,2802,16796.297650,16964.260626,16964.260626,16460.371697,stop_loss,-10.000000,-100.000000,-100.800000
short,5315,5632,18190.900000,18372.809000,18372.809000,17827.082000,stop_loss,-10.000000,-100.000000,-100.800000
short,5654,5672,18744.123250,18931.564483,18931.564483,18369.240785,stop_loss,-10.000000,-100.000000,-100.800000
short,5779,5963,18760.115250,18947.716403,18947.716403,18384.912945,stop_loss,-10.000000,-100.000000,-100.800000
short,7222,7247,21114.637400,21325.783774,21325.783774,20692.344652,stop_loss,-10.000000,-100.000000,-100.800000
short,8447,8477,21452.768250,21023.712885,21667.295933,21023.712885,take_profit,20.000000,200.000000,199.200000
short,9449,9516,21203.093150,21415.124082,21415.124082,20779.031287,stop_loss,-10.000000,-100.000000,-100.800000
short,11146,11506,23047.170650,22586.227237,23277.642357,22586.227237,take_profit,20.000000,200.000000,199.200000
short,13508,13641,23139.224600,23370.616846,23370.616846,22676.440108,stop_loss,-10.000000,-100.000000,-100.800000
short,13726,13815,23479.154550,23713.946096,23713.946096,23009.571459,stop_loss,-10.000000,-100.000000,-100.800000
short,18222,18565,23244.372000,22779.484560,23476.815720,22779.484560,take_profit,20.000000,200.000000,199.200000
short,18976,19108,22737.425600,22282.677088,22964.799856,22282.677088,take_profit,20.000000,200.000000,199.200000
short,20301,20492,21790.999050,22008.909041,22008.909041,21355.179069,stop_loss,-10.000000,-100.000000,-100.800000
short,23843,23862,25002.292600,24502.246748,25252.315526,24502.246748,take_profit,20.000000,200.000000,199.200000
short,24531,24785,24974.706400,24475.212272,25224.453464,24475.212272,take_profit,20.000000,200.000000,199.200000
short,25717,25723,23857.965050,24096.544701,24096.544701,23380.805749,stop_loss,-10.000000,-100.000000,-100.800000
short,25785,25945,23861.863100,24100.481731,24100.481731,23384.625838,stop_loss,-10.000000,-100.000000,-100.800000
